,algorithm,dimension,type,distances,proportions,score,avg_score,iterations
0,Gonzalez,2,0,1.0,,39887.81706494742,15.955126825978969,13
1,kmeans++,2,0,1.0,,39887.10490679157,15.954841962716626,8
2,Gonzalez,2,0,2.0,,41138.36526403174,16.455346105612694,9
3,kmeans++,2,0,2.0,,41138.28159985688,16.45531263994275,8
4,Gonzalez,2,0,2.5,,40147.59723672009,16.059038894688037,7
5,kmeans++,2,0,2.5,,40147.59723672009,16.059038894688037,13
6,Gonzalez,2,0,3.0,,39293.970870213394,15.717588348085357,7
7,kmeans++,2,0,3.0,,56422.78127190372,22.56911250876149,7
8,Gonzalez,2,0,3.5,,40109.93977411611,16.043975909646445,19
9,kmeans++,2,0,3.5,,40109.675374346116,16.043870149738446,7
10,Gonzalez,2,0,4.0,,56917.533628170546,22.76701345126822,9
11,kmeans++,2,0,4.0,,40621.76758593209,16.248707034372835,8
12,Gonzalez,2,0,5.0,,40375.70321873615,16.150281287494458,6
13,kmeans++,2,0,5.0,,40375.70321873615,16.150281287494458,7
14,Gonzalez,2,1,,5,19906.397790736402,7.962559116294561,11
15,kmeans++,2,1,,5,19906.30526267611,7.962522105070444,23
16,Gonzalez,2,1,,10,34535.65653522218,13.814262614088872,6
17,kmeans++,2,1,,10,24912.352738752805,9.964941095501121,7
18,Gonzalez,2,1,,25,40539.127303452515,16.215650921381005,11
19,kmeans++,2,1,,25,40538.72639360077,16.215490557440308,14
20,Gonzalez,2,1,,50,63343.07889193316,25.337231556773265,12
21,kmeans++,2,1,,50,61956.51748945541,24.782606995782164,9
22,Gonzalez,2,1,,75,79619.7284697572,31.84789138790288,11
23,kmeans++,2,1,,75,77376.85691883105,30.95074276753242,32
24,Gonzalez,2,1,,90,82432.02752209295,32.972811008837176,8
25,kmeans++,2,1,,90,82434.26106574519,32.97370442629808,24
26,Gonzalez,2,1,,95,77441.32238161776,30.976528952647104,26
27,kmeans++,2,1,,95,77441.32238161776,30.976528952647104,34
28,Gonzalez,3,0,1.0,,287980.9098715972,115.19236394863887,12
29,kmeans++,3,0,1.0,,287953.5983454794,115.18143933819177,33
30,Gonzalez,3,0,2.0,,285049.0550736379,114.01962202945516,7
31,kmeans++,3,0,2.0,,285046.8507442743,114.01874029770973,11
32,Gonzalez,3,0,2.5,,285475.78185507254,114.19031274202901,17
33,kmeans++,3,0,2.5,,408305.73185960355,163.32229274384142,15
34,Gonzalez,3,0,3.0,,281949.5289964096,112.77981159856385,11
35,kmeans++,3,0,3.0,,281943.1479289546,112.77725917158185,20
36,Gonzalez,3,0,3.5,,406779.3184823847,162.7117273929539,17
37,kmeans++,3,0,3.5,,264229.6368301265,105.6918547320506,6
38,Gonzalez,3,0,4.0,,412744.6153082799,165.09784612331197,25
39,kmeans++,3,0,4.0,,406690.20746524533,162.67608298609812,18
40,Gonzalez,3,0,5.0,,281512.6503856991,112.60506015427964,18
41,kmeans++,3,0,5.0,,281513.5130947593,112.60540523790372,11
42,Gonzalez,3,1,,5,119966.4574699331,47.986582987973236,7
43,kmeans++,3,1,,5,119966.4574699331,47.986582987973236,7
44,Gonzalez,3,1,,10,190815.29801002456,76.32611920400983,13
45,kmeans++,3,1,,10,176094.87906518648,70.4379516260746,11
46,Gonzalez,3,1,,25,294841.35361029964,117.93654144411985,24
47,kmeans++,3,1,,25,294743.1194081606,117.89724776326425,13
48,Gonzalez,3,1,,50,474510.3226981036,189.80412907924145,23
49,kmeans++,3,1,,50,473584.33545287367,189.43373418114948,43
50,Gonzalez,3,1,,75,604584.1129250543,241.8336451700217,24
51,kmeans++,3,1,,75,597206.903952338,238.8827615809352,29
52,Gonzalez,3,1,,90,627292.0983939356,250.91683935757425,26
53,kmeans++,3,1,,90,631406.1782504881,252.56247130019526,43
54,Gonzalez,3,1,,95,624413.3484492782,249.76533937971126,42
55,kmeans++,3,1,,95,633752.0318665864,253.50081274663458,14
